Key,Korean(ko),English(en),Japanese(ja)
PS_EDT_9000,"탐색을 이어가던 당신의 앞에
검은색 포탈이 나타났습니다.
포탈에서 머리에 뿔이 달린
정체불명의 남자가 나와 말을 겁니다.
""거래를 하지.""","As you continue your exploration,
a black portal appears before you.
From within the portal emerges
a mysterious man with horns on his head.
He speaks to you.
“Let’s make a deal.”","探索を続けているあなたの前に、
黒いポータルが現れました。
ポータルの中から、
頭に角の生えた正体不明の男が現れ、
声をかけてきます。
「取引をしよう。」"
PS_EDT_9001,"<color=green>{Getting}</color>
""좋은 거래였어.""
""대가가 무엇이냐고?""
""나아가다 보면 알게 되겠지.""
정체불명의 남자는 검은색 포탈에
들어가며 사라졌습니다.","<color=green>{Getting}</color>
“It was a good deal.”
“You want to know the price?”
“You’ll find out as you go.”
With those words,
the mysterious man steps into the black portal
and vanishes.","<color=green>{Getting}</color>
「いい取引だった。」
「代償が何か、だって？」
「進めば分かるさ。」
そう言い残し、
正体不明の男は黒いポータルへと入り、
姿を消しました。"
PS_EDT_9002,"""훌륭하군. 다음에 또 보도록 하지.""
정체불명의 남자는 검은색 포탈에
들어가며 사라졌습니다.","“Impressive. We’ll meet again.”
With that,
the mysterious man steps into the black portal
and disappears.","「見事だ。では、また会おう。」
そう言って、
正体不明の男は黒いポータルへと入り、
姿を消しました。"
PS_EDT_9010,"당신은 많은 양의 상처약이 놓여있는
바구니를 발견했습니다.
""한개씩 써요!""
라고 적힌 메세지가 보입니다.","You find a basket filled
with a large number of healing potion.
A note attached to it reads:
“Only one, please!”","たくさんのヒーリングポーションが入った
かごを見つけました。
そこには、こんなメッセージが書かれています。
「1つずつ使ってね！」"
PS_EDT_9011,"<color=green>{Getting}</color>
<color=red>{Losing}</color>
상처가 나아가는 것이 느껴집니다.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
You feel your wounds beginning to heal.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
傷が癒えていくのを感じます。"
PS_EDT_9020,"""우아아앙!!!!!""
소리가 들려오는 곳을 보니
왠 흙골렘이 몬스터 무리에게 쫓기는 것이 보입니다.","“Waaahhh!!!!!”
You turn toward the sound
and see a clay golem being chased
by a group of monsters.","「うわああああ！！！」
声が聞こえた方を見ると、
モンスターの群れに追われている
土ゴーレムの姿が見えます。"
PS_EDT_9021,"<color=green>{Getting}</color>
흙골렘과 몬스터 무리가 멀어져 갑니다.
가만 있는 동안 피로가 해소된 것 같습니다.","<color=green>{Getting}</color>
The clay golem and the group of monsters
gradually move farther away.
While you remain still,
you feel your fatigue easing.","<color=green>{Getting}</color>
土ゴーレムとモンスターの群れが
次第に遠ざかっていきます。
じっとしているうちに、
疲れが取れたようです。"
PS_EDT_9022,"잠시 몬스터 무리의 시선을 끄는데 성공했습니다.
그 흙골렘은 도망치는데 성공했을까요?","You manage to draw the attention
of the group of monsters for a moment.
Did the clay golem manage to escape?","モンスターの群れの注意を、
しばらくの間引きつけることに成功しました。
あの土ゴーレムは、
無事に逃げることができたのでしょうか？"
PS_EDT_9023,"<color=red>{Losing}</color>
약간의 무리를 했지만
몬스터 무리를 내쫓는데 성공했습니다.
""고마워요!! 고마워요!!""
당신이 구한 흙골렘은 감사를 표하며
언젠가 은혜를 갚겠다며 떠나갑니다.","<color=red>{Losing}</color>
You push yourself a little,
but manage to drive the monsters away.
“Thank you!! Thank you!!”
The clay golem you saved expresses its gratitude
and leaves, promising to repay the favor someday.","<color=red>{Losing}</color>
少し無理をしましたが、
モンスターの群れを追い払うことに成功しました。
「ありがとう！！ ありがとう！！」
あなたが助けた土ゴーレムは、
感謝の言葉を伝え、
いつか必ず恩返しをすると言って、その場を去っていきました。"
PS_EDT_9030,"바닥에 쓰러져있는 무언가가 보입니다.
다가가서 자세히 보니 뼈만 남은
탐험가의 시체인듯 합니다.","You notice something lying on the ground.
As you approach and take a closer look,
it appears to be the skeletal remains
of an explorer.","地面に倒れている何かが見えます。
近づいてよく見てみると、
それは骨だけが残った
探検者の遺体のようです。"
PS_EDT_9031,"<color=green>{Getting}</color>
약간은 찝찝하지만
별다른 고생없이 보급품을 얻었습니다.","<color=green>{Getting}</color>
It feels a bit unsettling,
but you obtain some supplies
without much trouble.","<color=green>{Getting}</color>
少し気がかりではありますが、
特に苦労することもなく、
補給品を手に入れました。"
PS_EDT_9032,"<color=green>{Getting}</color>
<color=red>{Losing}</color>
당신은 어느 탐험가의 장례식을 치렀습니다.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
You hold a funeral
for an explorer.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
あなたは、
ある探検者の葬儀を執り行いました。"
PS_EDT_9040,"많은 양의 피로회복제가 놓여있는
바구니를 발견했습니다.
""한개씩 써요!!""
라고 적힌 메세지가 보입니다.","You find a basket filled
with a large number of stamina potion.
A note attached to it reads:
“Only one, please!”","たくさんのステミナポーションが入った
かごを見つけました。
そこには、こんなメッセージが書かれています。
「1つずつ使ってね！」"
PS_EDT_9041,"<color=green>{Getting}</color>
<color=red>{Losing}</color>
피로가 해소되는게 느껴집니다.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
You feel your fatigue fade away.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
疲れが取れていくのを感じます。"
PS_EDT_9050,"당신의 시야에 주변과 어울리지 않는
성스러워 보이는 분수가 보입니다.
좋지 않은 것을 정화하는 힘을 가진것 같습니다.","In your field of vision,
you notice a fountain that seems out of place,
yet appears sacred.
It seems to possess the power
to cleanse that which is tainted.","周囲とは明らかに調和していない、
神聖そうな噴水が視界に入ります。
どうやら、
良くないものを浄化する力を
持っているようです。"
PS_EDT_9051,"<color=green>{Getting}</color>
당신은 사람들의 염원이 담긴
경험을 훔쳤습니다.","<color=green>{Getting}</color>
You steal experience
imbued with the hopes
of countless people.","<color=green>{Getting}</color>
あなたは、
人々の願いが込められた
経験を盗みました。"
PS_EDT_9052,"<color=red>{Losing}</color>
당신은 기도 후 마음이 가벼워짐을 느낍니다.","<color=red>{Losing}</color>
After praying,
you feel a weight lift from your heart.","<color=red>{Losing}</color>
祈りを捧げたあと、
心が少し軽くなったのを感じます。
"
PS_EDT_9060,"경험이 물처럼 흐르는 신비한 샘을 발견했습니다.
신비한 샘 앞에는
무언가 적힌 표지판이 있습니다.
<과유불급>","You discover a mysterious spring
where experience flows like water.
In front of the spring,
there is a sign with words written on it.
<Too much is as bad as too little.>","経験が水のように流れる
不思議な泉を見つけました。
その泉の前には、
何かが書かれた立て札があります。
〈過ぎたるは及ばざるがごとし〉"
PS_EDT_9061,"<color=red>{Losing}</color>
경험를 최대한 흡수하기 위해
샘에 몸을 담근 당신은 오히려 경험이
빠져나가는 것을 느꼈습니다.","<color=red>{Losing}</color>
In an attempt to absorb as much experience as possible,
you immerse yourself in the spring—
only to feel your experience slipping away instead.","<color=red>{Losing}</color>
経験をできるだけ吸収しようと、
泉に身を沈めたあなたは、
逆に経験が流れ出していくのを感じました。"
PS_EDT_9062,"<color=green>{Getting}</color>
경험를 적당히 흡수하기 위해
샘에 손을 담근 당신은 경험이
당신에게 흡수 되는 것을 느꼈습니다.","<color=green>{Getting}</color>
To absorb a reasonable amount of experience,
you place your hand into the spring,
and feel the experience flow into you.","<color=green>{Getting}</color>
経験をほどほどに吸収しようと、
泉に手を浸したあなたは、
経験が自分の中へと吸い込まれていくのを感じました。"
PS_EDT_9063,"<color=red>{Losing}</color>
샘을 자세히 보던 당신은
샘이 유지되는 방식을 깨달았습니다.
자신보다 샘이 필요한 사람들을 위해
당신은 약간의 경험을 샘에 흘려 넣었습니다.
샘의 물이 더 풍부해 진 것 같습니다.","<color=red>{Losing}</color>
As you study the spring more closely,
you come to understand how it is sustained.
For those who need the spring more than you do,
you let a small amount of your experience flow into it.
The waters of the spring seem to grow more abundant.","<color=red>{Losing}</color>
泉をじっくり観察していたあなたは、
この泉が保たれている仕組みに気づきました。
自分よりもこの泉を必要としている人たちのために、
あなたは少しの経験を泉へと流し込みました。
泉の水が、前よりも豊かになったようです。"
PS_EDT_9070,"갑작스럽게 나타난 문을 열자
피부를 달구는 열기와
쇠를 두드리는 소리가 끝없이 들려옵니다.
단단한 인상의 남성이 말을 걸어옵니다.
""뭘 만들어 주면 되겠소?""","As you open the door that suddenly appeared,
searing heat washes over your skin,
and the endless sound of hammer striking steel fills the air.
A man with a stern expression speaks to you.
“So, what do you want me to make?”","突然あらわれた扉を開けると、
肌を焼くような熱と、
金属を打つ音が絶えず聞こえてきます。
がっしりした印象の男が、あなたに声をかけてきます。
「何を作ってほしいんだ？」"
PS_EDT_9071,"""어떤 종류의 평범한 장비를 원하시오?""","“What kind of ordinary equipment are you looking for?""",「どんな種類の普通の装備がいい？」
PS_EDT_9072,"""어떤 종류의 좋은 장비를 원하시오?""","“What kind of good equipment are you looking for?""",「どんな種類の良い装備がいい？」
PS_EDT_9073,"""어떤 종류의 뛰어난 장비를 원하시오?""","“What kind of fine equipment are you looking for?""",「どんな種類の優れた装備がいい？」
PS_EDT_9074,"""어떤 종류의 완벽한 장비를 원하시오?""","“What kind of perfect equipment are you looking for?""",「どんな種類の完璧な装備がいい？」
PS_EDT_9075,"약간의 시간이 지난후
말을 걸어왔던 남성이
한 장비를 당신에게 넘깁니다.","After a short while,
the man who spoke to you earlier
hands you a equipment.","少し時間がたったあと、
先ほど声をかけてきた男が、
装備をひとつあなたに渡します。"
PS_EDT_9076,"당신은 대장간에서
장비를 제작할 필요성을 느끼지 못했습니다.","You do not feel the need to 
have equipment crafted at the forge.","あなたは、ここで装備を
作ってもらう必要はないと感じました。"
