Key,Korean(ko),English(en),Japanese(ja)
PS_ETT_9000,정체 불명의 거래,An Unknown Deal,正体不明の取引
PS_ETT_9001,거래 승낙,Accept the Deal,取引を受け入れる
PS_ETT_9002,거래 거부,Reject the Deal,取引を断る
PS_ETT_9010,누군가의 배려,Someone’s Kindness,誰かの思いやり
PS_ETT_9011,좋은 품질의 상처약,A High-Quality Healing Potion,品質の良いヒーリングポーション
PS_ETT_9020,말하는 몬스터?,A Talking Monster?,話すモンスター？
PS_ETT_9021,지켜보기,Keep Watching,様子を見る
PS_ETT_9022,약간의 도움,A Little Help,少しの助け
PS_ETT_9023,한 몬스터의 용사,A Monster’s Hero,あるモンスターの勇者
PS_ETT_9030,고인의 명복,Rest in Peace,故人の冥福
PS_ETT_9031,무료?,Free?,無料？
PS_ETT_9032,장례식,Funeral,葬式
PS_ETT_9040,누군가의 배려,Someone’s Kindness,誰かの思いやり
PS_ETT_9041,좋은 품질의 피로회복제,A High-Quality Stamina Potion,品質の良いステミナポーション
PS_ETT_9050,신성한 분수,The Sacred Fountain,聖なる泉
PS_ETT_9051,모독,Desecration,冒涜
PS_ETT_9052,회개,Penitence,悔い改め
PS_ETT_9060,경험의 샘,The Fountain of Experience,経験の泉
PS_ETT_9061,샘이 유지되는 이유,Why the Fountain Endures,泉が保たれる理由
PS_ETT_9062,경험의 샘,The Fountain of Experience,経験の泉
PS_ETT_9063,다음을 위한 배려,For Those Who Come Next,次のための配慮
PS_ETT_9070,신비한 대장간,The Mysterious Forge,不思議な鍛冶場
PS_ETT_9071,신비한 대장간,The Mysterious Forge,不思議な鍛冶場
PS_ETT_9072,신비한 대장간,The Mysterious Forge,不思議な鍛冶場
PS_ETT_9073,신비한 대장간,The Mysterious Forge,不思議な鍛冶場
PS_ETT_9074,신비한 대장간,The Mysterious Forge,不思議な鍛冶場
PS_ETT_9075,장비 제작,Equipment Crafting,装備の制作
PS_ETT_9076,불필요한 의뢰,A Needless Commission,不要な依頼
PS_ETT_9080,불길해 보이는 검,An Ominous Sword,不吉な剣
PS_ETT_9081,불운을 피하는 법,How to Avoid Misfortune,不運を避ける方法
PS_ETT_9082,그저 느낌일 뿐,Just a Feeling,気のせいだ
PS_ETT_8000,신성한 분수,The Sacred Fountain,聖なる泉
PS_ETT_8001,모독,Desecration,冒涜
PS_ETT_8002,회개,Penitence,悔い改め
PS_ETT_8003,옅어진 저주,The Faded Curse,薄れた呪い
PS_ETT_8004,건망증,Forgetfulness,物忘れ
PS_ETT_8010,말하는 흙골렘,A Talking Clay Golem,話す土ゴーレム
PS_ETT_8011,은혜 갚기,Returning the Kindness,恩返し
PS_ETT_8012,평범한 대화,Just a Normal Talk,何気ない会話
PS_ETT_8013,친절한 사람,A Kind Person,親切な人
PS_ETT_8020,고인의 감사,Gratitude of the Deceased,故人の感謝
PS_ETT_8021,경험의 전수,Passing on Experience,経験を受け継ぐ
PS_ETT_8030,토토의 은혜 갚기,Toto’s Gratitude,トトの恩返し
